test,#genre#
更新时间2026.3.7,https://k0u3cydy43y9zw2408x8760xfx5xx9z.djvod.ndcimgs.com/upic/2026/03/07/21/BMjAyNjAzMDcyMTIyMzlfNDI0MDI5NTBfMTg5Nzk0ODUxNjg5XzFfMw==_b_Bc33d39ac3524c256f9ddabce4588794b.mp4


CCTV1,http://156.238.248.80:8880/play/1.m3u8
CCTV2,http://156.238.248.80:8880/play/2.m3u8
CCTV3,http://156.238.248.80:8880/play/3.m3u8
CCTV4,http://156.238.248.80:8880/play/4.m3u8
CCTV5,http://156.238.248.80:8880/play/5.m3u8
CCTV5+,http://156.238.248.80:8880/play/6.m3u8
CCTV6,http://156.238.248.80:8880/play/7.m3u8
CCTV7,http://156.238.248.80:8880/play/8.m3u8
CCTV8,http://156.238.248.80:8880/play/9.m3u8
CCTV9,http://156.238.248.80:8880/play/10.m3u8
CCTV10,http://156.238.248.80:8880/play/11.m3u8
CCTV11,http://156.238.248.80:8880/play/12.m3u8
CCTV12,http://156.238.248.80:8880/play/13.m3u8
CCTV13,http://156.238.248.80:8880/play/14.m3u8
CCTV14,http://156.238.248.80:8880/play/15.m3u8
CCTV15,http://156.238.248.80:8880/play/16.m3u8
CCTV17,http://156.238.248.80:8880/play/17.m3u8
CCTV4欧洲,http://156.238.248.80:8880/play/18.m3u8
CCTV4美洲,http://156.238.248.80:8880/play/19.m3u8
东方卫视,http://156.238.248.80:8880/play/25.m3u8
江苏卫视,http://156.238.248.80:8880/play/26.m3u8
广东卫视,http://156.238.248.80:8880/play/27.m3u8
北京卫视,http://156.238.248.80:8880/play/28.m3u8
辽宁卫视,http://156.238.248.80:8880/play/29.m3u8
河北卫视,http://156.238.248.80:8880/play/30.m3u8
江西卫视,http://156.238.248.80:8880/play/31.m3u8
陕西卫视,http://156.238.248.80:8880/play/32.m3u8
湖北卫视,http://156.238.248.80:8880/play/33.m3u8
农林卫视,http://156.238.248.80:8880/play/34.m3u8
兵团卫视,http://156.238.248.80:8880/play/35.m3u8
财富天下,http://156.238.248.80:8880/play/48.m3u8
经典香港电影,http://156.238.248.80:8880/play/54.m3u8
抗战经典影片,http://156.238.248.80:8880/play/55.m3u8
新片放映厅,http://156.238.248.80:8880/play/56.m3u8
CHC影迷电影,http://156.238.248.80:8880/play/57.m3u8
CHC动作电影,http://156.238.248.80:8880/play/58.m3u8
CHC家庭影院,http://156.238.248.80:8880/play/59.m3u8
和美乡途轮播台,http://156.238.248.80:8880/play/60.m3u8
最强综艺趴,http://156.238.248.80:8880/play/61.m3u8
赛事最经典,http://156.238.248.80:8880/play/20.m3u8
体坛名栏汇,http://156.238.248.80:8880/play/21.m3u8
四海钓鱼,http://156.238.248.80:8880/play/22.m3u8
陕西体育,http://156.238.248.80:8880/play/23.m3u8
辽宁体育,http://156.238.248.80:8880/play/24.m3u8



CCTV-1HD,http://107.150.60.122/live/cctv1hd.m3u8
CCTV-2HD,http://107.150.60.122/live/cctv2hd.m3u8
CCTV-3HD,http://107.150.60.122/live/cctv3hd.m3u8
CCTV-4HD,http://107.150.60.122/live/cctv4hd.m3u8
CCTV-5HD,http://107.150.60.122/live/cctv5hd.m3u8
CCTV-6HD,http://107.150.60.122/live/cctv6hd.m3u8
CCTV-7HD,http://107.150.60.122/live/cctv7hd.m3u8
CCTV-8HD,http://107.150.60.122/live/cctv8hd.m3u8
CCTV-9HD,http://107.150.60.122/live/cctv9hd.m3u8
CCTV-10HD,http://107.150.60.122/live/cctv10hd.m3u8
CCTV-11HD,http://107.150.60.122/live/cctv11hd.m3u8
CCTV-12HD,http://107.150.60.122/live/cctv12hd.m3u8
CCTV-13HD,http://107.150.60.122/live/cctv13hd.m3u8
CCTV-14HD,http://107.150.60.122/live/cctv14hd.m3u8
CCTV-15HD,http://107.150.60.122/live/cctv15hd.m3u8
CCTV-16HD,http://107.150.60.122/live/cctv16hd.m3u8
CCTV-17HD,http://107.150.60.122/live/cctv17hd.m3u8
CCTV-5+HD,http://107.150.60.122/live/cctv5p.m3u8
CCTV-4K超高清,http://107.150.60.122/live/cctv4k.m3u8
CCTV-8K超高清,http://107.150.60.122/live/cctv8k.m3u8
CCTV-央视文化精品,http://107.150.60.122/live/ysjp.m3u8
CCTV-卫生健康,http://107.150.60.122/live/wsjk.m3u8
中央新影-发现之旅,http://107.150.60.122/live/fxzl.m3u8
中央新影-老故事,http://107.150.60.122/live/lgs.m3u8
中国教育3,http://107.150.60.122/live/cetv3.m3u8
湖南卫视HD,http://107.150.60.122/live/hnwshd.m3u8
东方卫视HD,http://107.150.60.122/live/dfwshd.m3u8
浙江卫视HD,http://107.150.60.122/live/zjwshd.m3u8
江苏卫视HD,http://107.150.60.122/live/jswshd.m3u8
重庆卫视HD,http://107.150.60.122/live/cqwshd.m3u8
东南卫视HD,http://107.150.60.122/live/dnwshd.m3u8
广西卫视HD,http://107.150.60.122/live/gxwshd.m3u8
湖北卫视HD,http://107.150.60.122/live/hbwshd.m3u8
辽宁卫视HD,http://107.150.60.122/live/lnwshd.m3u8
山东卫视HD,http://107.150.60.122/live/sdwshd.m3u8
